Designator,Mid X,Mid Y,Rotation,Layer
C1,66.8323,-50.606,180.0,top
C10,69.4723,-96.326,0.0,top
C11,69.4723,-100.136,0.0,top
C12,74.5523,-96.326,0.0,top
C13,74.5523,-100.136,0.0,top
C14,78.8173,-70.926,180.0,top
C2,91.9248,-66.7085,90.0,top
C3,104.6248,-79.4085,90.0,top
C4,45.7973,-58.256,180.0,top
C5,45.7973,-63.306,0.0,top
C6,55.9573,-81.086,180.0,top
C7,55.9573,-84.896,180.0,top
C8,64.3923,-96.326,0.0,top
C9,64.3923,-100.136,0.0,top
D1,48.5748,-68.386,180.0,top
D2,50.8898,-84.896,180.0,top
D3,97.1748,-79.816,0.0,top
J1,56.3948,-58.121,180.0,top
J2,100.8148,-56.186,180.0,top
J3,43.1423,-72.706,270.0,top
J4,114.7848,-68.386,90.0,top
J5,114.469,-81.086,90.0,top
J6,114.448,-97.088,90.0,top
Q1,54.7148,-72.449324,0.0,top
Q2,54.7148,-77.276,0.0,top
R1,66.8823,-54.416,180.0,top
R2,69.4223,-70.926,0.0,top
R3,49.1023,-77.276,0.0,top
R4,49.1023,-73.466,0.0,top
R5,50.9273,-81.086,180.0,top
R6,61.0873,-81.086,180.0,top
R7,61.0873,-84.896,180.0,top
R8,63.9848,-91.6035,270.0,top
SW1,38.5848,-81.401,0.0,top
SW2,44.9348,-81.401,180.0,top
U1,79.8048,-53.326,0.0,top
U10,72.8748,-82.356,90.0,top
U11,57.6348,-97.596,180.0,top
U2,100.8148,-70.926,180.0,top
U3,40.3948,-61.726,90.0,top
U4,62.4548,-73.506,90.0,top
U5,99.208,-109.026,180.0,top
U6,79.0564,-109.026,180.0,top
U7,58.9048,-109.026,180.0,top
U8,94.028,-91.908,0.0,top
U9,87.0148,-76.006,0.0,top
Y1,58.3248,-89.976,0.0,top
button_BAT1,44.9348,-95.431,270.0,top
